Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
Imaia	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Imazekia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Immersaria	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Immersidiscosia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Immersiella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Imshaugia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Incrucipulum	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrupila	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrustocalyptella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrustoporia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Induratia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inermisia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inflahypha	7	Symbiotroph	Arbuscular mycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inflatostereum	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundibulicybe	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundibura	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundichalara	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ingaderia	7	Symbiotroph	Lichenized	Highly Probable				Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Ingoldiomyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ingvariella	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Inocephalus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inocutis	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inocybe	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Inocyclus	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inonotopsis	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inonotus	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Inopilus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Insolibasidium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Instraspora	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Intextomyces	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Intralichen baccisporus	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen christiansenii	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen lichenicola	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen lichenum	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intraomatospora	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Intrapes	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Intraspora	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Involucropyrenium	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Iodophanus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Iodowynnea	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Iola	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ionaspis	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ionomidotis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ioplaca	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Irene perseae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Irenopsis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Irpex	7	Saprotroph	Wood saprotroph	Highly Probable		Brown rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Irpicodon	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isaria	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isaria fuciformis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Isariopsis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isariopsis clavispora	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Ischnoderma	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Ishwaramyces	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ishwaromyces	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isomucor	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isothea	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Issatschenkia orientalis	8	Pathotroph		Probable			Opportunistic human pathogen	www.cdc.org
Isthmiella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isthmospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isthmosporella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Itersonilia perplexans	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Iwilsoniella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ixocomus	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaapia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jackelixia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jacobsonia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaculispora	7	Pathotroph	Mycoparasite	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaffuela	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jafnea	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jahnoporus	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Jahnula	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jamesdicksonia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jamesiella	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Janannfeldtia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Japewia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Japewiella	7	Symbiotroph	Lichenized	Highly Probable				Printzen C. 1999. The Bryologist 102: 714-719
Japonia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jarixa	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Jarmania	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jarxia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Jattaea	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Javaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jenmania	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Joergensenia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Joerstadia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johansonia	7	Pathotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johncouchia	7	Pathotroph	Animal pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johncouchia mangiferae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Johnkarlingia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Josefpoeltia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jugulospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Julella	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Juliohirschhornia	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jumillera	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Junghuhnia	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Junghuhnia nitida	8	Pathotroph	Mycoparasite	Highly Probable				List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Kabatia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kabatiella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kabatiella caulivora	8	Pathotroph	Plant pathogen|Endophyte	Possible			host: Araceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Kabatiella caulivorum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kabatiella zeae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kabatina	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kacosphaeria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kaernefeltia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kainomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalaallia	7	Pathotroph	Lichenicolous	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalaharituber	7	Symbiotroph	Ectomycorrhizal	Possible				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Kalapuya	7	Symbiotroph	Ectomycorrhizal	Highly Probable				List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Kalbiana	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalbographa	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalchbrenneriella cyanescens	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kallichroma	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kallistoskypha	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalmusia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kamatia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kantvilasia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kappamyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karakulinia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karlingiomyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karoowia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karschia athallina	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karschia inops	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karschia talcophila	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karstenella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karsteniomyces peltigerae	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karstenula	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kathistes	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Katumotoa	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kavinia	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kazulia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Keissleriella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kellermania	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kephartia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Keratinomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kerniomyces	7	Pathotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernkampella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Khuskia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Khuskia oryzae	8	Pathotroph	Endophyte|Plant pathogen	Probable			host: broad host range	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kickxella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kiehlia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kiliasia	7	Symbiotroph	Lichenized	Highly Probable			Syn. Toninia	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kimbropezia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kimuromyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirkiana	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirkomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirramyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kjeldsenia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Klasterskya	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Klastostachys	7	Symbiotroph	Animal gut	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kleidiomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kluyveromyces lactis	8	Saprotroph	Saprotroph	Probable	Yeast			"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Kluyveromyces marxianus	8	Pathotroph	Endophyte	Highly Probable	Yeast		host: Boraginaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Kluyveromyces waltii	8	Saprotroph	Saprotroph	Probable	Yeast			"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Kneiffia	7	Saprotroph		Probable			 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Knoxdaviesia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kobayasia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochiella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochiomyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochmania	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Koerberia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Koerberiella	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kohlmeyera	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kohlmeyeriella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kohninia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kompsoscypha	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Koralionastes	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kordyana	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korfia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korfiella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korupella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kotlabaea	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kraurogymnocarpa	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kretzschmaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kretzschmaria deusta	8	Pathotroph	Plant pathogen|Endophyte	Possible			host: Arecaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Kretzschmariella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kriegeriella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krieglsteinera	7	Pathotroph	Mycoparasite	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krieglsteinera lasiosphaeriae	8	Pathotroph	Mycoparasite	Highly Probable				List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Krogia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krombholzia	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krombholziella	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kroswia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kruphaiomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehneola	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehneola uredinis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kuehneromyces	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehniella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuklospora	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Kumbhamaya	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kunkelia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuntzeomyces	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kutilakesa pironii	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kuzuhaea	7	Pathotroph	Mycoparasite	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kweilingia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kylindria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kyphomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laboulbenia	7	Pathotroph	Animal pathogen	Probable	Thallus			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Labrella coryli	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Labrocarpon	7	Pathotroph	Lichenicolous	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Labyrintha	7	Symbiotroph	Lichenized	Highly Probable				Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Labyrinthomyces	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Laccaria	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Laccariopsis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laccocephalum	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnaster	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnea	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Lachnella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnellula	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnocladium	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnum	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnum virgineum	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Lacrymaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lacrymospora	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lactarius	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Lactifluus	7	Symbiotroph	Ectomycorrhizal	Highly Probable				List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Lactocollybia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lacustromyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
